Gene,KRAS_mean,WT_mean,Diff,Pvalue
ERGIC1 (57222),0.19307621882002238,0.09749398864911579,0.09558223017090658,0.008761636493749158
CHI3L1 (1116),-0.060551337571422566,0.01537430086696134,-0.0759256384383839,0.008799040603560052
MATN2 (4147),0.08662818718262189,0.0005019593931128343,0.08612622778950905,0.008803432692058714
ZSCAN2 (54993),0.08647239760826686,-0.012996735739694402,0.09946913334796126,0.008819444685550747
ROBO3 (64221),0.22387989940034303,0.10630595612214791,0.11757394327819512,0.008863634840384752
LIMK1 (3984),0.04112087637357708,-0.07640951841081661,0.1175303947843937,0.008870067800681142
TLCD2 (727910),0.12644446363233294,0.023993932942666576,0.10245053068966636,0.008967649136241538
PRICKLE4 (29964),-0.02978365518429033,0.04825861705583712,-0.07804227224012746,0.00904537770600872
LRIT2 (340745),0.04641874497447953,0.11505108509306619,-0.06863234011858665,0.009048340899025717
HLA-DMA (3108),-0.15912289994729054,-0.0706770788676146,-0.08844582107967594,0.009229012225991977
APOBEC2 (10930),-0.15769893120622339,-0.07275185922058118,-0.0849470719856422,0.00924109954860434
HLA-DQB2 (3120),0.09019232685642047,-0.023307754007608292,0.11350008086402875,0.009294642805072481
PRH2 (5555),0.3143489047163651,0.05942896355404477,0.25491994116232036,0.009337548917627435
DHX15 (1665),-1.2069261379817455,-1.386268182842128,0.1793420448603824,0.00934750590586239
PLPPR1 (54886),0.044807242535868104,0.11063869005849304,-0.06583144752262493,0.009392227927664943
KIF3C (3797),0.10529535758522673,-0.0021410802853368584,0.10743643787056359,0.00940609446517944
CELF2 (10659),-0.17879203788676687,-0.06743620443923644,-0.11135583344753043,0.009428354645146509
CD200R1 (131450),-0.05400058797587692,0.02152591590719805,-0.07552650388307497,0.009442277352331508
GSTM4 (2948),-0.1326348067132914,-0.24466246330231156,0.11202765658902017,0.00945705740041877
KIF6 (221458),-0.1478183883554783,-0.05301446565525649,-0.09480392270022181,0.009474720741169512
SBNO2 (22904),0.11788238701743249,-0.07499030916679407,0.19287269618422656,0.00948173739566263
RNFT2 (84900),-0.042856165686226196,-0.15070970843676074,0.10785354275053455,0.009486664192042518
MIB1 (57534),-0.10447431368572785,-0.3376429582661815,0.23316864458045367,0.009552577065252036
GPC4 (2239),0.15958821907197068,0.08343652626678018,0.0761516928051905,0.009559846240914924
RETSAT (54884),-0.19715800375047077,-0.10104657420412982,-0.09611142954634094,0.009668631161572431
TAP2 (6891),-0.04421790785675634,0.06672348921322271,-0.11094139706997905,0.009747154695089404
RBBP4 (5928),-1.056804778785968,-1.3816871485443223,0.3248823697583543,0.009758258260272674
SPRYD4 (283377),-0.5221997675008585,-0.3515621084354382,-0.17063765906542028,0.009781348544540115
ZDHHC11 (79844),-0.0356740307555407,-0.2683149028911364,0.2326408721355957,0.009794096758719673
NALCN (259232),0.17383404954312165,0.08194222708491418,0.09189182245820747,0.00980072996704332
MTHFD1 (4522),-0.2867425717535017,-0.5697917158865518,0.28304914413305005,0.009818280815499736
AOC1 (26),0.00021822870449624346,-0.09076562213451494,0.09098385083901118,0.009893806165376816
ANKRD9 (122416),0.05585741480655013,-0.06497969397900215,0.12083710878555229,0.010070298324050465
DDX21 (9188),-1.2430850893995922,-1.0201790754199536,-0.2229060139796386,0.01015305628575016
HEXA (3073),0.0957950925172817,0.009290339828746816,0.08650475268853489,0.010206662749286848
SHOX2 (6474),0.06123127148639813,-0.03132966377731713,0.09256093526371525,0.010207733910916832
DNAI2 (64446),0.10854965227033715,0.03097921573213441,0.07757043653820274,0.010250336530295893
GREM2 (64388),0.06631529543845381,-0.046539470484097394,0.1128547659225512,0.010254316914182193
VOPP1 (81552),-0.23897752574705233,-0.349836989210848,0.11085946346379566,0.010350742680587296
STK24 (8428),0.19254310873316052,0.06628589622752164,0.12625721250563887,0.010484692347579847
MAPK9 (5601),0.2572688025585015,0.15889336989605377,0.09837543266244772,0.010490806133339739
NAT9 (26151),0.029360095066719678,-0.061043409548885076,0.09040350461560476,0.010558433714378363
PCDHB5 (26167),-0.013789650099391827,-0.08541903656205409,0.07162938646266226,0.01057408498436107
