Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cell cycle,0.4268392512299197,1.8156226848517594,2.000000e-03,2.475488e-02,1.460000e-01,34/123,10.80%,BUB3;MYC;SKP2;ANAPC2;CDK6;CDC16;PCNA;CCND2;ANAPC5;STAG2;MCM5;RBX1;YWHAZ;CDKN2A;MCM3;E2F3;ORC1;ORC2;CDC20;MCM4;HDAC1;RAD21;CHEK1;CDK7;HDAC2;TFDP1;ANAPC10;CDKN2B;ORC4;ORC6;ORC3;MCM6;CDKN1C;CCNE1
prerank,Aldosterone-regulated sodium reabsorption,-0.5370925773858669,-1.802901950841126,4.464286e-03,4.457879e-02,2.100000e-01,3/36,2.17%,KRAS;FXYD4;PRKCA
prerank,One carbon pool by folate,0.6347050799099694,1.7999571684535278,2.000000e-03,2.361158e-02,1.660000e-01,10/19,18.20%,TYMS;MTHFD1;DHFR;ATIC;MTHFR;FTCD;AMT;DHFR2;GART;MTFMT
prerank,Mismatch repair,0.5952629964916087,1.7945999189199122,2.000000e-03,2.215583e-02,1.820000e-01,7/23,6.77%,RFC2;POLD1;PCNA;RPA2;RFC5;POLD2;LIG1
prerank,Sulfur relay system,-0.7552279104859532,-1.7543193344483134,1.200000e-02,6.673003e-02,3.120000e-01,5/8,9.09%,CTU2;MOCS3;CTU1;URM1;NFS1
prerank,Apelin signaling pathway,-0.39519181876555304,-1.7325315856160237,2.000000e-03,7.421611e-02,3.660000e-01,22/134,10.02%,KRAS;CCND1;NRF1;PRKAG2;MEF2D;PIK3R4;CALM2;GNAI1;PRKAG1;RPS6KB1;GNG3;PIK3C3;GNB4;GNG13;NOS3;MYLK2;PLAT;HDAC4;PRKACA;SLC8A3;MYL2;RYR1
prerank,N-Glycan biosynthesis,0.48399868134930996,1.7250247346133447,3.787879e-03,3.821348e-02,3.140000e-01,12/50,9.75%,DPAGT1;ALG1;ALG13;ALG11;MGAT4B;ALG2;DDOST;STT3A;DPM2;RPN1;RPN2;ALG14
prerank,Long-term depression,-0.453758094405996,-1.6920280214137249,2.000000e-03,9.619440e-02,4.740000e-01,4/59,2.17%,KRAS;PPP2R1A;GNAI1;PRKCA
prerank,Vibrio cholerae infection,-0.4607345857569531,-1.6812009294959547,2.000000e-03,9.659296e-02,5.080000e-01,18/50,12.35%,ATP6V1A;ATP6V1E1;ATP6AP1;KDELR2;ATP6V1G1;PRKCA;ATP6V1B2;SEC61G;ACTG1;ATP6V0B;TCIRG1;ATP6V1C1;SEC61A1;ATP6V1B1;PRKACA;PLCG2;ATP6V1D;CFTR
prerank,Thyroid cancer,-0.4891163375703499,-1.6714294731879895,8.771930e-03,9.649527e-02,5.440000e-01,2/37,0.08%,KRAS;CCND1
